date,dow,month,is_weekend,is_holiday,is_before_holiday,is_after_holiday
2016-04-29,4,4,0,0,0,0
2016-04-30,5,4,1,0,1,0
2016-05-01,6,5,1,1,0,0
2016-05-02,0,5,0,0,0,1
2016-05-03,1,5,0,0,0,0
2016-05-04,2,5,0,0,0,0
2016-05-05,3,5,0,0,0,0
2016-05-06,4,5,0,0,0,0
2016-05-07,5,5,1,0,0,0
2016-05-08,6,5,1,0,0,0
2016-05-09,0,5,0,0,0,0
2016-05-10,1,5,0,0,0,0
2016-05-11,2,5,0,0,0,0
2016-05-12,3,5,0,0,0,0
2016-05-13,4,5,0,0,0,0
2016-05-14,5,5,1,0,0,0
2016-05-15,6,5,1,0,0,0
2016-05-16,0,5,0,0,0,0
2016-05-17,1,5,0,0,0,0
2016-05-18,2,5,0,0,0,0
2016-05-19,3,5,0,0,0,0
2016-05-20,4,5,0,0,0,0
2016-05-21,5,5,1,0,0,0
2016-05-22,6,5,1,0,0,0
2016-05-23,0,5,0,0,0,0
2016-05-24,1,5,0,0,0,0
2016-05-25,2,5,0,0,0,0
2016-05-26,3,5,0,0,0,0
2016-05-27,4,5,0,0,0,0
2016-05-28,5,5,1,0,0,0
2016-05-29,6,5,1,0,0,0
2016-05-30,0,5,0,0,0,0
2016-05-31,1,5,0,0,0,0
2016-06-01,2,6,0,0,0,0
2016-06-02,3,6,0,0,0,0
2016-06-03,4,6,0,0,0,0
2016-06-04,5,6,1,0,0,0
2016-06-05,6,6,1,0,0,0
2016-06-06,0,6,0,0,0,0
2016-06-07,1,6,0,0,0,0
2016-06-08,2,6,0,0,0,0
